Date,AAPL,AMZN,BTC-USD,CSCO,ETH-USD,IEF,META,TEF
2021-07-02,137.97055053710938,175.5489959716797,33897.046875,50.02874755859375,2150.040283203125,110.4617691040039,354.70001220703125,4.02750825881958
2021-07-03,,,34668.546875,,2226.1142578125,,,
2021-07-04,,,35287.78125,,2321.72412109375,,,
2021-07-05,,,33746.00390625,,2198.58251953125,,,
2021-07-06,140.00125122070312,183.78700256347656,34235.1953125,49.50546646118164,2324.679443359375,111.04389190673828,352.7799987792969,3.8901095390319824
2021-07-07,142.51499938964844,184.82899475097656,33855.328125,49.76710891723633,2315.161865234375,111.36835479736328,350.489990234375,3.864347457885742
2021-07-08,141.20388793945312,186.57049560546875,32877.37109375,49.76710891723633,2120.0263671875,111.65465545654297,345.6499938964844,3.8042349815368652
2021-07-09,143.04733276367188,185.9669952392578,33798.01171875,50.21562957763672,2146.6923828125,111.09159088134766,350.4200134277344,3.855759620666504
2021-07-10,,,33520.51953125,,2111.403564453125,,,
2021-07-11,,,34240.1875,,2139.664794921875,,,
2021-07-12,142.4459991455078,185.92750549316406,33155.84765625,49.73907470703125,2036.7210693359375,111.03436279296875,353.1600036621094,3.8815221786499023
2021-07-13,143.56980895996094,183.8679962158203,32702.025390625,49.82316970825195,1940.083984375,110.69081115722656,352.0899963378906,3.8214099407196045
2021-07-14,147.02989196777344,184.08399963378906,32822.34765625,50.54267501831055,1994.331298828125,111.16796875,347.6300048828125,3.8128225803375244
2021-07-15,146.3694305419922,181.55999755859375,31780.73046875,50.131534576416016,1911.1756591796875,111.63556671142578,344.4599914550781,3.769885540008545
2021-07-16,144.30914306640625,178.68150329589844,31421.5390625,50.178253173828125,1880.3829345703125,111.61648559570312,341.1600036621094,3.778472900390625
2021-07-17,,,31533.068359375,,1898.8251953125,,,
2021-07-18,,,31796.810546875,,1895.5521240234375,,,
2021-07-19,140.42514038085938,177.47950744628906,30817.83203125,49.580223083496094,1817.296630859375,112.57080078125,336.95001220703125,3.6754233837127686
